ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1900151435,1788245970,1788245970524,1788251926,1788251926494,0,4,0,2,4,901018,1900151435,0,3,0.01,0.0,4438.83,0.0,0.0,4438.87,0.0,XAUUSD,STR B1,
1900151451,1788245970,1788245970767,1788246183,1788246183409,0,5,0,2,4,901018,1900151451,0,3,0.01,0.0,4435.87,0.0,0.0,4435.87,0.0,XAUUSD,STR S1,
1900151456,1788245971,1788245971046,1788251944,1788251944977,0,4,0,2,4,901018,1900151456,0,3,0.01,0.0,4440.31,0.0,0.0,4440.32,0.0,XAUUSD,STR B2,
1900151464,1788245971,1788245971329,1788246456,1788246456042,0,5,0,2,4,901018,1900151464,0,3,0.01,0.0,4434.39,0.0,0.0,4434.38,0.0,XAUUSD,STR S2,
1900151474,1788245971,1788245971606,1788251955,1788251955667,0,4,0,2,4,901018,1900151474,0,3,0.01,0.0,4441.79,0.0,0.0,4441.96,0.0,XAUUSD,STR B3,
1900151480,1788245971,1788245971851,1788246505,1788246505337,0,5,0,2,4,901018,1900151480,0,3,0.01,0.0,4432.91,0.0,0.0,4432.9,0.0,XAUUSD,STR S3,
1900151495,1788245972,1788245972104,1788252292,1788252292361,0,4,0,2,4,901018,1900151495,0,3,0.01,0.0,4443.27,0.0,0.0,4443.33,0.0,XAUUSD,STR B4,
1900151510,1788245972,1788245972379,1788246615,1788246615635,0,5,0,2,4,901018,1900151510,0,3,0.01,0.0,4431.43,0.0,0.0,4431.43,0.0,XAUUSD,STR S4,
1900151517,1788245972,1788245972675,1788252316,1788252316743,0,4,0,2,4,901018,1900151517,0,3,0.01,0.0,4444.75,0.0,0.0,4444.81,0.0,XAUUSD,STR B5,
1900151532,1788245972,1788245972931,1788247173,1788247173789,0,5,0,2,4,901018,1900151532,0,3,0.01,0.0,4429.95,0.0,0.0,4429.9,0.0,XAUUSD,STR S5,
1900151541,1788245973,1788245973171,1788253057,1788253057504,0,4,0,2,4,901018,1900151541,0,3,0.01,0.0,4446.23,0.0,0.0,4446.24,0.0,XAUUSD,STR B6,
1900151545,1788245973,1788245973451,1788248483,1788248483303,0,5,0,2,4,901018,1900151545,0,3,0.01,0.0,4428.47,0.0,0.0,4428.28,0.0,XAUUSD,STR S6,
1900151558,1788245973,1788245973693,1788265105,1788265105263,0,4,0,2,2,901018,0,0,3,0.01,0.01,4447.71,0.0,0.0,4377.35,0.0,XAUUSD,STR B7,
1900151567,1788245973,1788245973932,1788248537,1788248537776,0,5,0,2,4,901018,1900151567,0,3,0.01,0.0,4426.99,0.0,0.0,4426.99,0.0,XAUUSD,STR S7,
1900151617,1788245975,1788245975302,1788265105,1788265105393,0,4,0,2,2,901018,0,0,3,0.01,0.01,4449.19,0.0,0.0,4377.44,0.0,XAUUSD,STR B8,
1900151634,1788245975,1788245975571,1788248793,1788248793149,0,5,0,2,4,901018,1900151634,0,3,0.01,0.0,4425.51,0.0,0.0,4425.53,0.0,XAUUSD,STR S8,
1900151654,1788245975,1788245975851,1788265105,1788265105346,0,4,0,2,2,901018,0,0,3,0.01,0.01,4450.67,0.0,0.0,4377.44,0.0,XAUUSD,STR B9,
1900151663,1788245976,1788245976099,1788251404,1788251404703,0,5,0,2,4,901018,1900151663,0,3,0.01,0.0,4424.03,0.0,0.0,4424.99,0.0,XAUUSD,STR S9,
1900151668,1788245976,1788245976339,1788265105,1788265105429,0,4,0,2,2,901018,0,0,3,0.01,0.01,4452.15,0.0,0.0,4377.44,0.0,XAUUSD,STR B10,
1900151676,1788245976,1788245976629,1788258629,1788258629109,0,5,0,2,4,901018,1900151676,0,3,0.01,0.0,4422.55,0.0,0.0,4422.99,0.0,XAUUSD,STR S10,
1900151710,1788245976,1788245976907,1788265105,1788265105376,0,4,0,2,2,901018,0,0,3,0.06,0.06,4453.63,0.0,0.0,4377.44,0.0,XAUUSD,STR B11,
1900151726,1788245977,1788245977179,1788258643,1788258643864,0,5,0,2,4,901018,1900151726,0,3,0.06,0.0,4421.07,0.0,0.0,4421.08,0.0,XAUUSD,STR S11,
1900151738,1788245977,1788245977427,1788264374,1788264374056,0,4,0,2,2,901018,0,0,3,0.06,0.06,4455.11,0.0,0.0,4369.64,0.0,XAUUSD,STR B12,
1900156099,1788246006,1788246006127,1788258659,1788258659029,0,5,0,2,4,901018,1900156099,0,3,0.06,0.0,4419.59,0.0,0.0,4422.26,0.0,XAUUSD,STR S12,
1900156133,1788246006,1788246006377,1788264373,1788264373775,0,4,0,2,2,901018,0,0,3,0.06,0.06,4456.59,0.0,0.0,4369.66,0.0,XAUUSD,STR B13,
1900156162,1788246006,1788246006623,1788259197,1788259197293,0,5,0,2,4,901018,1900156162,0,3,0.06,0.0,4418.11,0.0,0.0,4418.1,0.0,XAUUSD,STR S13,
1900156189,1788246006,1788246006858,1788264373,1788264373494,0,4,0,2,2,901018,0,0,3,0.06,0.06,4458.07,0.0,0.0,4369.61,0.0,XAUUSD,STR B14,
1900156224,1788246007,1788246007172,1788250869,1788250869522,0,5,0,2,2,901018,0,0,3,0.06,0.06,4416.63,0.0,0.0,4426.58,0.0,XAUUSD,STR S14,
1900156253,1788246007,1788246007435,1788250869,1788250869282,0,4,0,2,2,901018,0,0,3,0.06,0.06,4459.55,0.0,0.0,4426.86,0.0,XAUUSD,STR B15,
1900156272,1788246007,1788246007691,1788250869,1788250869033,0,5,0,2,2,901018,0,0,3,0.06,0.06,4415.15,0.0,0.0,4426.56,0.0,XAUUSD,STR S15,
1900156304,1788246007,1788246007937,1788250868,1788250868782,0,4,0,2,2,901018,0,0,3,0.06,0.06,4461.03,0.0,0.0,4426.85,0.0,XAUUSD,STR B16,
1900156337,1788246008,1788246008191,1788250868,1788250868533,0,5,0,2,2,901018,0,0,3,0.06,0.06,4413.67,0.0,0.0,4426.38,0.0,XAUUSD,STR S16,
1900156379,1788246008,1788246008726,1788250868,1788250868299,0,4,0,2,2,901018,0,0,3,0.06,0.06,4462.51,0.0,0.0,4426.56,0.0,XAUUSD,STR B17,
1900156452,1788246009,1788246009106,1788250867,1788250867729,0,5,0,2,2,901018,0,0,3,0.06,0.06,4412.19,0.0,0.0,4426.27,0.0,XAUUSD,STR S17,
1900156518,1788246009,1788246009372,1788250867,1788250867064,0,4,0,2,2,901018,0,0,3,0.06,0.06,4463.99,0.0,0.0,4426.66,0.0,XAUUSD,STR B18,
1900156550,1788246009,1788246009610,1788250866,1788250866782,0,5,0,2,2,901018,0,0,3,0.06,0.06,4410.71,0.0,0.0,4426.34,0.0,XAUUSD,STR S18,
1900156573,1788246009,1788246009885,1788250866,1788250866523,0,4,0,2,2,901018,0,0,3,0.06,0.06,4465.47,0.0,0.0,4426.62,0.0,XAUUSD,STR B19,
1900156605,1788246010,1788246010127,1788250866,1788250866238,0,5,0,2,2,901018,0,0,3,0.06,0.06,4409.23,0.0,0.0,4426.29,0.0,XAUUSD,STR S19,
1900156633,1788246010,1788246010371,1788250865,1788250865965,0,4,0,2,2,901018,0,0,3,0.06,0.06,4466.95,0.0,0.0,4426.57,0.0,XAUUSD,STR B20,
1900156838,1788246011,1788246011377,1788250865,1788250865724,0,5,0,2,2,901018,0,0,3,0.06,0.06,4407.75,0.0,0.0,4426.29,0.0,XAUUSD,STR S20,
1900156852,1788246011,1788246011624,1788250865,1788250865473,0,4,0,2,2,901018,0,0,3,0.15,0.15,4468.43,0.0,0.0,4426.57,0.0,XAUUSD,STR B21,
1900561707,1788251441,1788251441928,1788251441,1788251441935,0,0,0,1,4,901018,1900151451,0,4,0.01,0.0,4429.54,0.0,0.0,4429.54,0.0,XAUUSD,[sl 4429.54],
1900561708,1788251441,1788251441930,1788251441,1788251441937,0,0,0,1,4,901018,1900151464,0,4,0.01,0.0,4429.54,0.0,0.0,4429.54,0.0,XAUUSD,[sl 4429.54],
1900561709,1788251441,1788251441932,1788251441,1788251441938,0,0,0,1,4,901018,1900151480,0,4,0.01,0.0,4429.54,0.0,0.0,4429.54,0.0,XAUUSD,[sl 4429.54],
1900561710,1788251441,1788251441932,1788251441,1788251441941,0,0,0,1,4,901018,1900151510,0,4,0.01,0.0,4429.54,0.0,0.0,4429.54,0.0,XAUUSD,[sl 4429.54],
1900561711,1788251441,1788251441933,1788251441,1788251441941,0,0,0,1,4,901018,1900151532,0,4,0.01,0.0,4429.54,0.0,0.0,4429.54,0.0,XAUUSD,[sl 4429.54],
